system:index,FloodClass,FloodRisk,NDWI,elevation,slope,.geo
1125,0,-0.13993252934452532,-0.6468164,13,1.3762164,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20325744762016,24.229179359485343]}"
1126,0,-0.18570238893284585,-0.71002454,12,2.234506,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.21322874727389,24.229179359485343]}"
1127,0,-0.11342649524874229,-0.666853,10,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.21376773644437,24.229179359485343]}"
1128,1,-0.051718603681860334,-0.4823408,14,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.2161931877115,24.229179359485343]}"
1129,1,0.04583407934960301,-0.1414392,17,4.122316,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.21861863897863,24.229179359485343]}"
1130,1,-0.0754963684758973,-0.5383137,12,1.0169755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.14396863886827,24.22890986490011]}"
1131,0,-0.09895823059164466,-0.5768201,14,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.14612459555019,24.22890986490011]}"
1132,0,-0.08425796060961716,-0.50593364,13,2.114557,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.14693307930588,24.22890986490011]}"
1133,1,0.06643729047067035,-0.24007683,12,1.3762149,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.14801105764684,24.22890986490011]}"
1134,0,-0.0831145847852438,-0.5355502,15,1.0169755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15259246559583,24.22890986490011]}"
1135,1,0.06879112174391411,-0.18903768,14,2.2345018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15313145476631,24.22890986490011]}"
1136,1,-0.00733244871130416,-0.35649154,14,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15501791686296,24.22890986490011]}"
1137,0,-0.09518864387098774,-0.51444256,9,3.0483675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15609589520392,24.22890986490011]}"
1138,0,-0.14936345885961672,-0.6920479,11,1.0169755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15932983022674,24.22890986490011]}"
1139,0,-0.18792692587367843,-0.6661504,12,3.4425862,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.16094679773812,24.22890986490011]}"
1140,0,-0.09072450494701594,-0.53411657,11,2.0333107,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.16364174359052,24.22890986490011]}"
1141,0,-0.15371381963330316,-0.69233125,13,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.16471972193148,24.22890986490011]}"
1142,0,-0.14966227037536936,-0.69627595,8,1.3762149,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.16822315153951,24.22890986490011]}"
