NDWI,FloodRisk
-0.502,-0.049
-0.524,-0.062
-0.473,-0.035
-0.247,0.078
-0.298,0.037
-0.292,0.009
-0.335,0.008
-0.428,-0.048
-0.667,-0.161
-0.696,-0.168
-0.616,-0.119
-0.299,0.049
-0.639,-0.147
-0.483,-0.022
-0.361,0.021
-0.271,0.047
-0.292,0.05
-0.312,0.04
-0.399,-0.043
-0.595,-0.15
-0.755,-0.192
-0.748,-0.199
-0.709,-0.198
-0.708,-0.166
-0.696,-0.229
-0.346,-0.018
-0.299,0.033
-0.264,0.021
-0.328,-0.012
-0.337,0.014
-0.367,-0.028
-0.36,0.009
-0.45,-0.041
-0.321,-0.032
-0.587,-0.098
-0.527,-0.064
-0.28,0.059
-0.317,0.04
-0.446,-0.016
-0.351,-0.027
-0.715,-0.177
-0.716,-0.163
-0.621,-0.12
-0.724,-0.188
-0.659,-0.147
-0.714,-0.169
-0.565,-0.126
-0.656,-0.105
-0.688,-0.212
-0.217,0.091
-0.279,0.032
-0.323,0.003
-0.251,0.039
-0.665,-0.134
-0.572,-0.096
-0.429,-0.025
-0.654,-0.131
-0.715,-0.175
-0.621,-0.124
-0.631,-0.089
-0.583,-0.102
-0.566,-0.084
-0.645,-0.158
-0.645,-0.152
-0.731,-0.218
-0.743,-0.229
-0.742,-0.178
-0.703,-0.236
-0.575,-0.131
-0.518,-0.068
-0.687,-0.158
-0.328,0
-0.286,0.015
-0.462,-0.1
-0.639,-0.18
-0.579,-0.12
-0.63,-0.132
-0.729,-0.178
-0.361,-0.001
-0.567,-0.106
-0.595,-0.105
-0.715,-0.182
-0.711,-0.183
-0.355,0.005
-0.729,-0.202
-0.716,-0.194
-0.724,-0.168
-0.679,-0.164
-0.714,-0.161
-0.712,-0.21
-0.68,-0.212
-0.709,-0.162
-0.665,-0.158
-0.6,-0.198
-0.226,0.087
-0.399,-0.025
-0.452,-0.051
-0.443,-0.004
-0.315,0.065
-0.566,-0.132
-0.427,-0.049
-0.604,-0.13
-0.419,0.005
-0.679,-0.141
-0.391,-0.002
-0.649,-0.149
-0.581,-0.071
-0.296,0.017
-0.461,-0.041
-0.297,0.037
-0.512,-0.056
-0.748,-0.189
-0.761,-0.237
-0.746,-0.15
-0.713,-0.203
-0.645,-0.153
-0.683,-0.121
-0.654,-0.135
-0.665,-0.176
-0.303,0.018
-0.607,-0.177
-0.562,-0.087
-0.722,-0.163
-0.246,0.069
-0.302,0.066
-0.353,-0.03
-0.191,0.095
-0.473,-0.114
-0.353,0.006
-0.658,-0.146
-0.658,-0.133
-0.692,-0.149
-0.448,-0.041
-0.758,-0.188
-0.674,-0.178
-0.654,-0.158
-0.71,-0.196
-0.597,-0.103
-0.297,0.022
-0.58,-0.116
-0.419,-0.186
-0.652,-0.207
-0.614,-0.172
-0.698,-0.181
-0.661,-0.178
-0.514,-0.107
-0.519,-0.064
-0.653,-0.109
-0.592,-0.079
-0.407,-0.027
-0.341,-0.043
-0.647,-0.131
-0.697,-0.159
-0.707,-0.154
-0.66,-0.143
-0.751,-0.261
-0.746,-0.153
-0.724,-0.157
-0.744,-0.18
-0.73,-0.225
-0.72,-0.18
-0.709,-0.188
-0.632,-0.16
-0.728,-0.177
-0.616,-0.15
-0.713,-0.164
-0.708,-0.176
-0.655,-0.16
-0.729,-0.194
-0.443,-0.049
-0.602,-0.124
-0.497,-0.09
-0.475,-0.078
-0.736,-0.198
-0.519,-0.093
-0.712,-0.184
-0.405,-0.065
-0.727,-0.209
-0.671,-0.137
-0.468,-0.023
-0.322,0.011
-0.335,0.062
-0.621,-0.162
-0.545,-0.09
-0.715,-0.162
-0.67,-0.155
-0.676,-0.185
-0.58,-0.103
-0.719,-0.182
-0.274,-0.011
-0.731,-0.169
-0.718,-0.184
-0.737,-0.155
-0.746,-0.223
-0.719,-0.164
-0.737,-0.17
-0.709,-0.206
-0.714,-0.173
-0.707,-0.158
-0.449,-0.082
-0.594,-0.108
-0.337,0.008
-0.333,0.005
-0.701,-0.2
-0.541,-0.109
-0.446,-0.073
-0.588,-0.164
-0.372,-0.054
-0.631,-0.141
-0.541,-0.11
-0.38,-0.013
-0.476,-0.037
-0.28,0.043
-0.662,-0.194
-0.736,-0.176
-0.717,-0.162
-0.364,0.016
-0.637,-0.156
-0.264,0.03
-0.468,-0.066
-0.638,-0.12
-0.708,-0.187
-0.653,-0.137
-0.62,-0.134
-0.637,-0.122
-0.747,-0.178
-0.75,-0.183
-0.605,-0.11
-0.704,-0.209
-0.72,-0.22
-0.693,-0.192
-0.207,0.092
-0.358,-0.029
-0.531,-0.154
-0.419,-0.032
-0.612,-0.14
-0.134,0.048
-0.627,-0.195
-0.345,-0.024
-0.218,0.086
-0.628,-0.13
-0.706,-0.153
-0.328,0.007
-0.256,0.056
-0.697,-0.177
-0.684,-0.153
-0.522,-0.063
-0.684,-0.15
-0.573,-0.112
-0.654,-0.164
-0.713,-0.18
-0.723,-0.145
-0.741,-0.191
-0.731,-0.164
-0.685,-0.247
-0.393,-0.019
-0.295,0.025
-0.599,-0.085
-0.59,-0.155
-0.588,-0.107
-0.461,-0.118
-0.275,0.016
-0.449,-0.048
-0.684,-0.15
-0.731,-0.241
-0.291,0.03
-0.253,0.069
-0.223,0.091
-0.608,-0.102
-0.459,-0.056
-0.658,-0.173
-0.719,-0.142
-0.733,-0.146
-0.549,-0.085
-0.707,-0.158
-0.714,-0.167
-0.709,-0.161
-0.718,-0.187
-0.297,0.044
-0.68,-0.171
-0.721,-0.205
-0.283,0.009
-0.491,-0.067
-0.536,-0.084
-0.723,-0.174
-0.238,0.064
-0.447,-0.042
-0.338,0.023
-0.493,-0.085
-0.53,-0.119
-0.599,-0.128
-0.708,-0.164
-0.21,0.115
-0.171,0.071
-0.354,0.009
-0.662,-0.156
-0.705,-0.166
-0.685,-0.173
-0.686,-0.132
-0.645,-0.112
-0.737,-0.176
-0.654,-0.168
-0.401,-0.005
-0.419,-0.053
-0.575,-0.134
-0.711,-0.18
-0.732,-0.164
-0.515,-0.075
-0.21,0.093
-0.367,-0
-0.683,-0.146
-0.332,0.009
-0.295,0.027
-0.249,0.093
-0.249,0.105
-0.275,0.086
-0.262,0.072
-0.714,-0.146
-0.695,-0.171
-0.627,-0.145
-0.585,-0.103
-0.693,-0.154
-0.741,-0.171
-0.692,-0.154
-0.641,-0.173
-0.721,-0.165
-0.561,-0.103
-0.683,-0.18
-0.135,0.146
-0.488,-0.074
-0.558,-0.144
-0.463,-0.067
-0.621,-0.137
-0.751,-0.264
-0.323,0.013
-0.159,0.1
-0.248,0.069
-0.677,-0.143
-0.585,-0.075
-0.475,-0.044
-0.383,0.019
-0.624,-0.163
-0.702,-0.176
-0.729,-0.214
-0.586,-0.101
-0.67,-0.135
-0.544,-0.055
-0.273,-0
-0.411,-0.01
-0.635,-0.172
-0.441,-0.037
-0.562,-0.076
-0.563,-0.129
-0.472,-0.025
-0.345,-0.006
-0.686,-0.189
0.001,0.159
-0.692,-0.187
-0.518,-0.073
-0.511,-0.119
-0.305,0.009
-0.192,0.076
-0.103,0.102
-0.691,-0.174
-0.402,-0.042
-0.645,-0.146
-0.315,0.035
-0.613,-0.128
-0.679,-0.137
-0.594,-0.099
-0.651,-0.133
-0.685,-0.163
-0.67,-0.155
-0.41,-0.014
-0.456,-0.062
-0.521,-0.062
-0.465,-0.043
-0.706,-0.201
-0.527,-0.04
-0.64,-0.115
-0.539,-0.065
-0.615,-0.138
-0.432,-0.032
-0.617,-0.112
-0.722,-0.171
-0.444,0.004
-0.697,-0.167
-0.522,-0.08
-0.698,-0.171
-0.233,0.038
-0.611,-0.112
-0.422,-0.018
-0.499,-0.077
-0.517,-0.111
-0.444,-0.081
-0.192,0.076
-0.721,-0.164
-0.684,-0.202
-0.743,-0.236
-0.594,-0.12
-0.716,-0.207
-0.136,0.126
-0.462,-0.011
-0.483,-0.046
-0.654,-0.143
-0.629,-0.124
-0.678,-0.145
-0.125,0.078
-0.012,0.211
-0.492,-0.074
-0.576,-0.091
-0.362,-0.001
-0.684,-0.145
-0.408,-0.039
-0.525,-0.085
-0.596,-0.17
-0.695,-0.202
-0.62,-0.186
-0.733,-0.177
-0.733,-0.2
-0.693,-0.176
-0.267,0.02
-0.314,0.012
-0.714,-0.232
-0.688,-0.16
-0.605,-0.154
-0.731,-0.161
-0.225,0.063
-0.415,-0.008
-0.474,-0.038
-0.573,-0.1
-0.758,-0.195
-0.681,-0.157
-0.493,-0.056
0.044,0.196
0.087,0.218
-0.058,0.131
-0.651,-0.152
-0.634,-0.144
-0.437,-0.022
-0.715,-0.181
-0.43,-0.111
-0.62,-0.123
-0.477,-0.028
-0.473,-0.017
-0.607,-0.111
-0.367,-0.013
-0.584,-0.143
-0.646,-0.163
-0.739,-0.196
-0.516,-0.118
-0.622,-0.107
-0.735,-0.181
-0.23,0.064
-0.282,0.079
-0.72,-0.167
-0.592,-0.119
-0.687,-0.147
-0.707,-0.176
-0.719,-0.173
-0.703,-0.162
-0.683,-0.198
-0.156,0.119
-0.174,0.041
-0.563,-0.134
-0.474,-0.056
-0.446,-0.033
-0.221,0.061
-0.381,-0.006
-0.239,0.076
-0.411,-0.031
-0.716,-0.16
-0.479,-0.043
-0.47,-0.06
-0.669,-0.146
-0.228,0.081
-0.149,0.112
-0.15,0.106
-0.278,0.063
-0.478,-0.037
-0.351,0.027
-0.278,0.023
-0.282,0.034
-0.701,-0.188
-0.728,-0.212
-0.699,-0.151
-0.726,-0.184
-0.725,-0.23
-0.231,0.029
-0.659,-0.146
-0.67,-0.207
-0.716,-0.174
-0.708,-0.163
-0.438,-0.002
-0.683,-0.148
-0.619,-0.135
-0.633,-0.136
-0.508,-0.101
-0.556,-0.104
-0.182,0.03
-0.716,-0.227
-0.416,-0
-0.402,-0.004
-0.559,-0.083
-0.705,-0.176
-0.717,-0.186
-0.617,-0.113
-0.169,0.121
-0.366,-0.003
-0.44,-0.031
-0.475,-0.062
-0.532,-0.136
-0.675,-0.194
-0.661,-0.191
-0.517,-0.13
-0.471,-0.061
-0.61,-0.088
-0.532,-0.105
-0.32,0.036
-0.525,-0.108
-0.694,-0.153
-0.722,-0.184
-0.553,-0.109
-0.723,-0.175
-0.686,-0.154
-0.686,-0.193
-0.534,-0.05
-0.522,-0.084
-0.581,-0.113
-0.668,-0.188
-0.658,-0.169
-0.516,-0.139
-0.644,-0.194
-0.566,-0.125
-0.258,0.015
-0.281,0.07
-0.677,-0.169
-0.728,-0.202
-0.695,-0.146
-0.164,0.099
-0.211,0.071
-0.378,0.031
-0.377,-0.012
-0.625,-0.114
-0.657,-0.102
-0.547,-0.086
-0.496,-0.093
-0.601,-0.105
-0.683,-0.162
-0.697,-0.195
-0.398,-0.019
-0.268,0.03
-0.577,-0.096
-0.582,-0.104
-0.625,-0.139
-0.588,-0.129
-0.647,-0.14
-0.71,-0.186
-0.667,-0.113
-0.482,-0.052
-0.141,0.046
-0.538,-0.075
-0.577,-0.099
-0.506,-0.084
-0.24,0.066
-0.536,-0.083
-0.189,0.069
-0.356,-0.007
-0.514,-0.095
-0.692,-0.149
-0.666,-0.188
-0.534,-0.091
-0.692,-0.154
-0.696,-0.15
-0.242,0.041
-0.657,-0.121
-0.562,-0.077
-0.002,0.213
-0.007,0.124
-0.574,-0.103
-0.478,-0.034
-0.699,-0.157
-0.533,-0.077
-0.517,-0.071
-0.42,-0.06
-0.412,-0.101
-0.424,-0.066
-0.296,-0.022
-0.677,-0.172
-0.355,-0.014
-0.605,-0.181
-0.716,-0.164
-0.204,0.099
-0.253,0.051
-0.201,0.098
-0.213,0.047
-0.68,-0.181
-0.72,-0.214
-0.72,-0.171
-0.065,0.112
-0.392,-0.058
-0.699,-0.177
-0.607,-0.104
-0.709,-0.185
-0.705,-0.156
-0.502,-0.062
-0.731,-0.215
-0.366,0.004
-0.59,-0.14
-0.581,-0.12
-0.51,-0.089
-0.687,-0.15
-0.429,-0.045
-0.206,0.071
-0.18,0.084
-0.276,0.073
-0.525,-0.064
-0.323,0
-0.716,-0.163
-0.746,-0.183
-0.349,0.024
-0.204,0.096
-0.249,0.035
-0.188,0.081
-0.338,0.023
-0.358,-0.005
-0.269,0.058
-0.723,-0.16
-0.724,-0.18
0.186,0.255
-0.609,-0.124
-0.668,-0.16
-0.479,-0.064
-0.577,-0.108
-0.574,-0.098
-0.571,-0.116
-0.729,-0.193
-0.697,-0.135
-0.444,-0.024
-0.264,0.042
-0.269,0.074
-0.491,-0.059
-0.226,0.051
-0.226,0.053
-0.277,0.029
-0.439,-0.023
-0.699,-0.156
-0.7,-0.13
-0.684,-0.195
-0.697,-0.143
-0.718,-0.19
-0.559,-0.087
-0.362,0.02
-0.278,0.081
-0.688,-0.163
-0.641,-0.145
-0.736,-0.232
-0.745,-0.152
-0.687,-0.195
-0.442,-0.038
0.009,0.185
-0.303,0.009
-0.49,-0.096
-0.62,-0.128
-0.47,-0.069
-0.249,0.049
-0.334,0.02
-0.702,-0.151
-0.48,-0.139
-0.37,-0.014
-0.707,-0.174
-0.309,0.012
-0.7,-0.183
-0.693,-0.165
-0.583,-0.127
-0.673,-0.183
-0.227,0.082
-0.468,-0.04
-0.56,-0.137
-0.559,-0.106
-0.66,-0.137
-0.709,-0.2
-0.717,-0.224
-0.739,-0.168
-0.718,-0.18
-0.707,-0.17
-0.594,-0.122
-0.659,-0.137
-0.37,-0.028
-0.664,-0.157
-0.392,-0.022
-0.375,-0.023
-0.367,0.006
-0.444,-0.035
-0.719,-0.185
-0.712,-0.173
-0.617,-0.139
-0.577,-0.075
-0.497,-0.038
-0.59,-0.137
-0.669,-0.166
-0.717,-0.217
-0.669,-0.21
-0.665,-0.179
-0.649,-0.135
-0.251,0.07
-0.264,0.091
-0.678,-0.138
-0.721,-0.162
-0.512,-0.064
-0.709,-0.172
-0.526,-0.119
-0.34,0.02
-0.7,-0.154
-0.417,-0.034
-0.666,-0.15
-0.61,-0.174
-0.348,0.046
-0.312,0.003
-0.275,0.058
-0.265,0.066
-0.683,-0.148
-0.474,-0.059
-0.754,-0.163
-0.605,-0.122
-0.268,0.056
-0.207,0.043
-0.207,0.09
-0.247,0.054
-0.469,-0.107
-0.584,-0.158
-0.701,-0.224
-0.727,-0.177
-0.643,-0.168
-0.592,-0.146
-0.547,-0.087
-0.622,-0.108
-0.416,-0.012
-0.684,-0.15
-0.696,-0.162
-0.704,-0.18
-0.727,-0.162
-0.647,-0.106
-0.593,-0.113
-0.681,-0.12
-0.62,-0.134
-0.693,-0.16
-0.705,-0.163
-0.68,-0.142
-0.716,-0.161
-0.518,-0.084
-0.21,0.087
-0.309,0.036
-0.331,0.004
-0.557,-0.147
-0.687,-0.235
-0.291,0.026
-0.66,-0.131
-0.664,-0.118
-0.572,-0.09
-0.632,-0.161
-0.478,-0.022
-0.191,0.107
-0.405,-0.025
-0.669,-0.135
-0.552,-0.079
-0.717,-0.16
-0.656,-0.13
-0.721,-0.195
-0.532,-0.126
-0.518,-0.039
-0.653,-0.158
-0.655,-0.168
-0.656,-0.157
-0.547,-0.134
-0.716,-0.168
-0.471,-0.043
-0.586,-0.113
-0.715,-0.178
-0.162,0.059
-0.276,0.045
-0.38,-0.012
-0.608,-0.202
-0.192,0.06
-0.457,-0.09
-0.454,-0.049
-0.643,-0.132
-0.649,-0.15
-0.527,-0.108
-0.613,-0.127
-0.642,-0.123
-0.657,-0.133
-0.267,0.025
-0.204,0.08
-0.278,0.061
-0.28,0.052
-0.446,0
-0.357,-0.017
-0.721,-0.146
-0.738,-0.192
-0.539,-0.077
-0.477,-0.098
-0.671,-0.134
-0.58,-0.079
-0.308,0.012
-0.343,0.001
-0.33,0.021
-0.276,0.018
-0.385,-0.012
-0.509,-0.064
-0.519,-0.094
-0.433,-0.033
-0.224,0.065
-0.174,0.103
-0.584,-0.107
-0.451,-0.044
-0.41,-0.06
-0.584,-0.093
-0.703,-0.206
-0.534,-0.094
-0.369,0.035
-0.253,0.06
-0.352,0.022
-0.189,0.11
-0.202,0.054
-0.339,0.027
-0.39,-0.009
-0.392,-0.001
-0.713,-0.161
-0.673,-0.161
-0.725,-0.187
-0.465,-0.051
-0.212,0.025
-0.703,-0.172
-0.643,-0.126
-0.737,-0.182
-0.724,-0.196
-0.264,0.029
-0.314,0.042
-0.543,-0.085
-0.335,-0.004
-0.304,0.039
-0.523,-0.149
-0.726,-0.166
-0.693,-0.145
-0.712,-0.184
-0.711,-0.198
-0.642,-0.126
-0.495,-0.102
-0.157,0.121
-0.184,0.128
-0.305,0.017
-0.34,-0.014
-0.328,0.032
-0.585,-0.106
-0.602,-0.155
-0.67,-0.163
-0.687,-0.16
-0.506,-0.053
-0.523,-0.072
-0.308,0.033
-0.58,-0.092
-0.241,0.059
-0.341,-0.061
-0.329,-0.025
-0.505,-0.041
-0.287,0.052
-0.303,0.019
-0.233,0.039
-0.344,0.016
-0.422,-0.069
-0.219,0.065
-0.718,-0.162
-0.733,-0.192
-0.659,-0.158
-0.683,-0.173
-0.674,-0.194
-0.573,-0.118
